school_name,state,level,control,official_website,has_inclusive_access,program_name,cost_model,bookstore_partner,publishers_used,notes,source_urls,research_status
Reid State Technical College,AL,2-year,public,https://www.rstc.edu,,,,,,,https://rstc.edu,done
Remington College-Mobile Campus,AL,2-year,private_nonprofit,https://www.remingtoncollege.edu/locations/mobile,,,,,,,https://remingtoncollege.edu,done
Samford University,AL,4-year,private_nonprofit,https://www.samford.edu,,,,,,,https://samford.edu; https://bkstr.com/samfordbookstore,done
Selma University,AL,4-year,private_nonprofit,https://selmau.edu,,,,,,,https://selmauniversity.edu,done
Shelton State Community College,AL,2-year,public,https://www.sheltonstate.edu,,,,,,,https://sheltonstate.edu; https://bkstr.com,done
Snead State Community College,AL,2-year,public,https://www.snead.edu,,,,,,,https://snead.edu; https://bkstr.com,done
South University-Montgomery,AL,4-year,private_forprofit,https://www.southuniversity.edu,,,,,,,https://southuniversity.edu,done
Southern Union State Community College,AL,2-year,public,https://www.suscc.edu,,,,,,,https://suscc.edu; https://bkstr.com,done
Spring Hill College,AL,4-year,private_nonprofit,https://www.shc.edu,,,,,,,https://shc.edu; https://bkstr.com,done
Stillman College,AL,4-year,private_nonprofit,https://stillman.edu,,,,,,,https://stillman.edu; https://bkstr.com,done
Strayer University - Montgomery Campus,AL,4-year,private_forprofit,https://www.strayer.edu/campus-locations/alabama/montgomery,,,,,,,https://strayer.edu,done
Strayer University-Alabama,AL,4-year,private_forprofit,https://www.strayer.edu/campus-locations/alabama/birmingham,,,,,,,https://strayer.edu,done
Strayer University-Huntsville Campus,AL,4-year,private_forprofit,https://www.strayer.edu/campus-locations/alabama/huntsville,,,,,,,https://strayer.edu,done
Talladega College,AL,4-year,private_nonprofit,https://www.talladega.edu,,,,,,,https://talladega.edu; https://bkstr.com,done
The University of Alabama,AL,4-year,public,https://www.ua.edu,,,,,,,https://universitysupplystore.com/access-granted; https://ua.edu,done
Troy University,AL,4-year,public,https://www.troy.edu,,,,,,,https://troy.edu/trojan-book-bag; https://troy.edu/student-services/bookstore,done
Troy University-Dothan Campus,AL,4-year,public,https://www.troy.edu/about-us/dothan-campus/index.html,,,,,,,https://troy.edu/dothan; https://troy.edu/trojan-book-bag,done
Troy University-Montgomery Campus,AL,4-year,public,https://www.troy.edu/about-us/montgomery-campus/index.html,,,,,,,https://troy.edu/montgomery; https://troy.edu/trojan-book-bag,done
Troy University-Online,AL,4-year,public,https://www.troy.edu/online,,,,,,,https://troy.edu/online; https://troy.edu/trojan-book-bag,done
Troy University-Phenix City Campus,AL,4-year,public,https://www.troy.edu/about-us/phenix-city-campus/index.html,,,,,,,https://troy.edu/locations/phenix-city; https://troy.edu/trojan-book-bag,done
Tuskegee University,AL,4-year,private_nonprofit,https://www.tuskegee.edu,,,,,,,https://tuskegee.edu; https://bkstr.com/tuskegeebookstore,done
United States Sports University,AL,4-year,private_nonprofit,https://www.ussa.edu,,,,,,,https://ussa.edu,done
University of Alabama at Birmingham,AL,4-year,public,https://www.uab.edu,,,,,,,https://uab.edu/firstday; https://bncollege.com,done
University of Alabama in Huntsville,AL,4-year,public,https://www.uah.edu,,,,,,,https://uah.edu; https://bkstr.com/uahbookstore,done
University of Mobile,AL,4-year,private_nonprofit,https://www.umobile.edu,,,,,,,https://umobile.edu; https://bkstr.com,done
University of Montevallo,AL,4-year,public,https://www.montevallo.edu,,,,,,,https://montevallo.edu; https://bkstr.com/montevallobookstore,done
University of North Alabama,AL,4-year,public,https://www.una.edu,,,,,,,https://una.edu; https://bncollege.com/una,done
University of South Alabama,AL,4-year,public,https://www.southalabama.edu,,,,,,,https://southalabama.edu; https://bkstr.com/usabookstore,done
University of West Alabama,AL,4-year,public,https://www.uwa.edu,,,,,,,https://uwa.edu; https://bkstr.com/uwabookstore,done
Arkansas Baptist College,AR,4-year,private_nonprofit,https://www.arkansasbaptist.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Arkansas Colleges of Health Education,AR,4-year,private_nonprofit,https://achehealth.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Arkansas Northeastern College,AR,2-year,public,https://www.anc.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Arkansas State University,AR,4-year,public,https://www.astate.edu,yes,Inclusive Access Program,Charged to account like tuition; FA/scholarship eligible; digital first day; opt-out by add/drop,Textbook Brokers - Jonesboro,Various; digital first day via LMS,IA through Textbook Brokers. Charged like tuition. FA/scholarship eligible. Opt-out by add/drop.,https://astatebookstore.com,done
Arkansas State University Mid-South,AR,2-year,public,https://www.asumidsouth.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Arkansas State University Three Rivers,AR,2-year,public,https://www.asutr.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Arkansas State University-Beebe,AR,2-year,public,https://www.asub.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Arkansas State University-Mountain Home,AR,2-year,public,https://www.asumh.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Arkansas State University-Newport,AR,2-year,public,https://www.asun.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Arkansas Tech University,AR,4-year,public,https://www.atu.edu,Yes,Inclusive Access / Day One Access,Per-course discounted,Textbook Brokers,Various via Blackboard,Day-one digital; 180-day access; opt-out,https://atu.edu; https://bkstr.com/arkansastechbookstore,done
Baptist Health College Little Rock,AR,2-year,private_nonprofit,https://www.bhclr.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Black River Technical College,AR,2-year,public,https://www.blackrivertech.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Central Baptist College,AR,4-year,private_nonprofit,https://www.cbc.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Champion Christian College,AR,4-year,private_nonprofit,https://champion.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Cossatot Community College of the University of Arkansas,AR,2-year,public,https://www.cccua.edu/index.html,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Crowley's Ridge College,AR,4-year,private_nonprofit,https://www.crc.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
East Arkansas Community College,AR,2-year,public,https://www.eacc.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Ecclesia College,AR,4-year,private_nonprofit,https://ecollege.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Harding University,AR,4-year,private_nonprofit,https://www.harding.edu,yes,HUDirectAccess,Negotiated low price; charged to HU Student account; digital via Canvas; opt-out,University bookstore,Various; ebooks + publisher software via Canvas,HUDirectAccess: digital via Canvas. Negotiated low price. Charged to HU Student account. Opt-out by deadline.,https://harding.edu,done
Henderson State University,AR,4-year,public,https://www.hsu.edu,no,N/A,Traditional purchase,University bookstore,Various,No formal IA found. Now part of Arkansas State University system (merged). Textbook rental mentioned at partner institutions.,https://hsu.edu,done
Hendrix College,AR,4-year,private_nonprofit,https://www.hendrix.edu,Yes,Inclusive Access (Akademos),Per-course,Akademos,Various,Akademos bookstore; IA/EA/Student Choice,https://hendrix.edu; https://bkstr.com,done
Jackson Theological Seminary,AR,4-year,private_nonprofit,https://jtseminary.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Jefferson Regional School of Nursing,AR,2-year,private_nonprofit,https://www.jrmc.org,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
John Brown University,AR,4-year,private_nonprofit,https://www.jbu.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Lyon College,AR,4-year,private_nonprofit,https://www.lyon.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
National Park College,AR,2-year,public,https://www.np.edu,Unknown,N/A,Unknown,NPC Bookstore,Unknown,No evidence of formal IA,https://np.edu; https://bkstr.com,done
North Arkansas College,AR,2-year,public,https://www.northark.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
NorthWest Arkansas Community College,AR,2-year,public,https://www.nwacc.edu,Partial,Inclusive Access (select),Per-course fees,NWACC Bookstore (BN),Various,BN IA agreement; select courses,https://nwacc.edu; https://bkstr.com,done
Ouachita Baptist University,AR,4-year,private_nonprofit,https://obu.edu,Unknown,N/A,Unknown,Unknown,Cognella (some),Publisher-level IA only,https://obu.edu; https://bkstr.com,done
Ozarka College,AR,2-year,public,https://www.ozarka.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Philander Smith University,AR,4-year,private_nonprofit,https://www.philander.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Phillips Community College of the University of Arkansas,AR,2-year,public,https://www.pccua.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Shorter College,AR,2-year,private_nonprofit,https://www.shortercollege.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
South Arkansas College,AR,2-year,public,https://www.southark.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Southeast Arkansas College,AR,2-year,public,https://www.seark.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Southern Arkansas University Main Campus,AR,4-year,public,https://www.saumag.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Southern Arkansas University Tech,AR,2-year,public,https://www.sautech.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Strayer University-Arkansas,AR,4-year,private_forprofit,https://www.strayer.edu/campus-locations/arkansas/little-rock,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Arkansas,AR,4-year,public,https://www.uark.edu,yes,Inclusive Access / First Day,eBook via Blackboard; reduced cost; charged to account; opt-out,Barnes & Noble College,BN First Day; various; eBook via Blackboard,IA/First Day (formerly Inclusive Access). Piloted with significant savings. eBooks via Blackboard.,https://uark.edu; https://bncollege.com,done
University of Arkansas Community College Rich Mountain,AR,2-year,public,https://www.uarichmountain.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Arkansas Community College at Hope - Texarkana,AR,2-year,public,https://www.uaht.edu/index.php,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Arkansas Community College-Batesville,AR,2-year,public,https://www.uaccb.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Arkansas Community College-Morrilton,AR,2-year,public,https://www.uaccm.edu,Yes,Inclusive Access Materials,Per-course (billed to account),UACCM Bookstore,Various via Blackboard,Auto-enrolled; charges removed if dropped,https://uaccm.edu; https://bkstr.com,done
University of Arkansas Grantham,AR,4-year,public,https://www.uagrantham.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Arkansas Hope-Texarkana,AR,2-year,public,https://www.uaht.edu/index.php,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Arkansas at Little Rock,AR,4-year,public,https://ualr.edu/www,yes,First Day Complete / First Day by Course,Course charge; digital via LMS; book voucher program for FA,Barnes & Noble College,BN First Day Complete / First Day by Course; various,BN First Day Complete and First Day by Course. Also book voucher program via FA. OER mini-grants.,https://ualr.edu; https://bncollege.com,done
University of Arkansas at Monticello,AR,4-year,public,https://www.uamont.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Arkansas at Pine Bluff,AR,4-year,public,https://www.uapb.edu,Unknown,N/A,Unknown,UAPB Bookstore,OpenStax (some),Some faculty use OpenStax OER,https://uapb.edu; https://bkstr.com,done
University of Arkansas for Medical Sciences,AR,4-year,public,https://www.uams.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Arkansas-Fort Smith,AR,4-year,public,https://uafs.edu,Yes,Lion Textbook Access Program (LTAP),Per-course (20-60% savings),Follett,Various via Blackboard,Follett managed; 20-60% savings; opt-out,https://uafs.edu; https://bkstr.com,done
University of Arkansas-Pulaski Technical College,AR,2-year,public,https://uaptc.edu,Yes,Inclusive Access + Day One Access,Per-course (up to 75% savings),UA-PTC Bookstore,Various via Blackboard,150+ courses; financial aid eligible; opt-out,https://uaptc.edu; https://bkstr.com,done
University of Central Arkansas,AR,4-year,public,https://www.uca.edu,yes,Inclusive Access,Discounted digital via Blackboard; billed to student account; opt-out,UCA Bookstore,Various; digital via Blackboard,IA: electronic materials at discounted rates via Blackboard. Also offers Emergency Textbook Grants.,https://theucabookstore.com; https://uca.edu,done
University of the Ozarks,AR,4-year,private_nonprofit,https://ozarks.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Williams Baptist University,AR,4-year,private_nonprofit,https://williamsbaptistuniversity.com,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
American Samoa Community College,AS,4-year,public,https://www.amsamoa.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Alliant International University - Phoenix,AZ,4-year,private_forprofit,https://www.alliant.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
American InterContinental University System,AZ,4-year,private_forprofit,https://www.aius.education,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Arizona Christian University,AZ,4-year,private_nonprofit,https://arizonachristian.edu,Unknown,N/A,Unknown,Unknown,Unknown,No evidence of formal IA found,https://arizonachristian.edu; https://bkstr.com,done
Arizona College of Nursing-Phoenix,AZ,4-year,private_forprofit,https://www.arizonacollege.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Arizona College of Nursing-Tempe,AZ,4-year,private_forprofit,https://www.arizonacollege.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Arizona College of Nursing-Tucson,AZ,4-year,private_forprofit,https://www.arizonacollege.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Arizona College-Glendale,AZ,2-year,private_forprofit,https://www.arizonacollege.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Arizona School of Acupuncture and Oriental Medicine,AZ,4-year,private_forprofit,https://www.asaom.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Arizona State University - Cochise,AZ,4-year,public,https://www.asu.edu,yes,ASU Inclusive Access,Per-course reduced price; auto-charged; digital via Canvas; opt-out,ASU Bookstore (Follett),Various; Follett; digital via Canvas,ASU branch. Shares ASU Inclusive Access program. 41%+ courses. Digital via Canvas.,https://asu.edu; https://bkstr.com,done
Arizona State University - Lake Havasu,AZ,4-year,public,https://www.asu.edu,yes,ASU Inclusive Access,Per-course reduced price; auto-charged; digital via Canvas; opt-out,ASU Bookstore (Follett),Various; Follett; digital via Canvas,ASU branch. Shares ASU Inclusive Access program.,https://asu.edu,done
