unitid,school_name,state,city,has_ia,ia_program_name,cost_model,price,source_url,confidence,notes,data_source,quality_tier,consolidated_at
10415114,Arizona State University - Mesa City Center,AZ,Mesa,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu,likely,ASU branch. Shares ASU Inclusive Access program.,verified_dataset,GOLD,2026-03-10 17:25
10415113,Arizona State University - Northeastern Arizona,AZ,Show Low,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu,likely,ASU branch. Shares ASU Inclusive Access program.,verified_dataset,GOLD,2026-03-10 17:25
10415111,Arizona State University - Pima,AZ,Tucson,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu,likely,ASU branch. Shares ASU Inclusive Access program.,verified_dataset,GOLD,2026-03-10 17:25
10415108,Arizona State University - Pinal,AZ,Coolidge,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu,likely,ASU branch. Shares ASU Inclusive Access program.,verified_dataset,GOLD,2026-03-10 17:25
10415106,Arizona State University - The Gila Valley,AZ,Thatcher,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu,likely,ASU branch. Shares ASU Inclusive Access program.,verified_dataset,GOLD,2026-03-10 17:25
10415104,Arizona State University - Tucson,AZ,Tucson,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu,likely,ASU branch. Shares ASU Inclusive Access program.,verified_dataset,GOLD,2026-03-10 17:25
10415110,Arizona State University - Yavapai,AZ,Prescott Valley,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu,likely,ASU branch. Shares ASU Inclusive Access program.,verified_dataset,GOLD,2026-03-10 17:25
10415107,Arizona State University - Yuma,AZ,Yuma,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu,likely,ASU branch. Shares ASU Inclusive Access program.,verified_dataset,GOLD,2026-03-10 17:25
104151,Arizona State University Campus Immersion,AZ,Tempe,yes,Inclusive Access,per-course,,https://provost.asu.edu/inclusive-access,verified,41%+ courses use IA. Auto-charged after add/drop if no opt-out. Digital via Canvas.,verified_dataset,GOLD,2026-03-10 17:25
483124,Arizona State University Digital Immersion,AZ,Scottsdale,yes,Inclusive Access,per-course,,https://provost.asu.edu/inclusive-access,verified,ASU Online IA program. Same model as campus immersion. 41%+ courses.,verified_dataset,GOLD,2026-03-10 17:25
10415103,Arizona State University-Downtown Phoenix,AZ,Phoenix,yes,Inclusive Access (ASU system),per-course discounted,,https://asusundevilbookstores.com/inclusive-access; https://asu.edu/academics/bookstore,likely,ASU system IA,verified_dataset,GOLD,2026-03-10 17:25
10415102,Arizona State University-Polytechnic,AZ,Mesa,yes,Inclusive Access (ASU system),per-course discounted,,https://asusundevilbookstores.com/inclusive-access; https://asu.edu/academics/bookstore,likely,ASU system IA,verified_dataset,GOLD,2026-03-10 17:25
10415101,Arizona State University-West Valley,AZ,Glendale,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu,likely,ASU branch. Shares ASU Inclusive Access program.,verified_dataset,GOLD,2026-03-10 17:25
104160,Arizona Western College,AZ,Yuma,no,N/A,student self-purchase,,https://azwestern.edu; https://bkstr.com,likely,No bookstore; students buy independently via ISBN,verified_dataset,GOLD,2026-03-10 17:25
106458,Arkansas State University,AR,Jonesboro,yes,Inclusive Access Program,charged to account like tuition; fa/scholarship eligible; digital first day; opt-out by add/drop,,https://astatebookstore.com,likely,IA through Textbook Brokers. Charged like tuition. FA/scholarship eligible. Opt-out by add/drop.,verified_dataset,GOLD,2026-03-10 17:25
106467,Arkansas Tech University,AR,Russellville,yes,Inclusive Access / Day One Access,per-course discounted,,https://atu.edu; https://bkstr.com/arkansastechbookstore,likely,Day-one digital; 180-day access; opt-out,verified_dataset,GOLD,2026-03-10 17:25
100858,Auburn University,AL,Auburn,yes,All Access (one of largest IA programs in US),per-course; digital day 1; auto-enrolled; charged on e-bill first billing cycle; opt-out by 15th class day; one of largest ia programs in us,,https://aubookstore.com; https://auburn.edu,likely,Auburn: All Access. One of largest IA programs in US. Auto-enrolled. Charged on e-bill. Opt-out by 15th day.,verified_dataset,GOLD,2026-03-10 17:25
222992,Austin Community College District,TX,Austin,yes,First Day,per-course,Not listed (varies by course),https://www.bncollege.com/first-day/,HIGH,BN First Day per-course model.,notion_gemini_codex,GOLD,2026-03-10 17:25
109819,Bakersfield College,CA,Bakersfield,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,https://cccco.edu; https://asccc-oeri.org,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.,verified_dataset,GOLD,2026-03-10 17:25
109907,Barstow Community College,CA,Barstow,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,https://cccco.edu; https://asccc-oeri.org,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.,verified_dataset,GOLD,2026-03-10 17:25
125170,Berkeley City College,CA,Berkeley,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,https://cccco.edu; https://asccc-oeri.org,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.,verified_dataset,GOLD,2026-03-10 17:25
110246,Butte College,CA,Oroville,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,https://cccco.edu; https://asccc-oeri.org,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.,verified_dataset,GOLD,2026-03-10 17:25
110334,Cabrillo College,CA,Aptos,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,https://cccco.edu; https://asccc-oeri.org,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.,verified_dataset,GOLD,2026-03-10 17:25
110370,California College of the Arts,CA,San Francisco,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,https://cccco.edu; https://asccc-oeri.org,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.,verified_dataset,GOLD,2026-03-10 17:25
110422,California Polytechnic State University-San Luis Obispo,CA,San Luis Obispo,yes,Poly Access (Follett),per-course,,https://bkstr.com/calpolyslotextbooks; https://calpoly.edu,likely,Follett Poly Access; free first-day digital then charged after add/drop; opt-out; CSU Affordable Learning Solutions,verified_dataset,GOLD,2026-03-10 17:25
110529,California State Polytechnic University-Pomona,CA,Pomona,yes,Instant Access Complete,$250/semester undergrad; $150/semester grad; flat rate,,https://cpp.edu; https://vitalsource.com; https://thepolypost.com,likely,Fall 2023 launch. ~20k students opted in. Automated digital delivery. Opt-out by add/drop.,verified_dataset,GOLD,2026-03-10 17:25
111188,California State University Maritime Academy,CA,Vallejo,yes,Equitable Access / Day 1 Digital Access (CSU AL$ framework),per-course or flat rate; digital via canvas/lms; auto-enrolled; opt-out; discounted; csu affordable learning solutions; chancellor's office supported,,https://calstate.edu,likely,CSU system Equitable Access / Day 1 Digital. AL$ framework. Digital via Canvas. Auto-enrolled. Opt-out. Hundreds of millions saved system-wide. Also OER initiatives.,verified_dataset,GOLD,2026-03-10 17:25
110486,California State University-Bakersfield,CA,Bakersfield,yes,Equitable Access / Day 1 Digital Access (CSU AL$ framework),per-course or flat rate; digital via canvas/lms; auto-enrolled; opt-out; discounted; csu affordable learning solutions; chancellor's office supported,,https://calstate.edu,likely,CSU system Equitable Access / Day 1 Digital. AL$ framework. Digital via Canvas. Auto-enrolled. Opt-out. Hundreds of millions saved system-wide. Also OER initiatives.,verified_dataset,GOLD,2026-03-10 17:25
441937,California State University-Channel Islands,CA,Camarillo,yes,Equitable Access / Day 1 Digital Access (CSU AL$ framework),per-course or flat rate; digital via canvas/lms; auto-enrolled; opt-out; discounted; csu affordable learning solutions; chancellor's office supported,,https://calstate.edu,likely,CSU system Equitable Access / Day 1 Digital. AL$ framework. Digital via Canvas. Auto-enrolled. Opt-out. Hundreds of millions saved system-wide. Also OER initiatives.,verified_dataset,GOLD,2026-03-10 17:25
110538,California State University-Chico,CA,Chico,yes,Equitable Access / Day 1 Digital Access (CSU AL$ framework),per-course or flat rate; digital via canvas/lms; auto-enrolled; opt-out; discounted; csu affordable learning solutions; chancellor's office supported,,https://calstate.edu,likely,CSU system Equitable Access / Day 1 Digital. AL$ framework. Digital via Canvas. Auto-enrolled. Opt-out. Hundreds of millions saved system-wide. Also OER initiatives.,verified_dataset,GOLD,2026-03-10 17:25
110547,California State University-Dominguez Hills,CA,Carson,yes,DH Immediate Access,auto-enrolled; reduced cost digital; opt-out available,,https://csudhauxiliarypartners.org,likely,"Collaboration between university, publishers, and bookstore. Auto-enrolled, opt-out.",verified_dataset,GOLD,2026-03-10 17:25
110574,California State University-East Bay,CA,Hayward,yes,Equitable Access / Day 1 Digital Access (CSU AL$ framework),per-course or flat rate; digital via canvas/lms; auto-enrolled; opt-out; discounted; csu affordable learning solutions; chancellor's office supported,,https://calstate.edu,likely,CSU system Equitable Access / Day 1 Digital. AL$ framework. Digital via Canvas. Auto-enrolled. Opt-out. Hundreds of millions saved system-wide. Also OER initiatives.,verified_dataset,GOLD,2026-03-10 17:25
110556,California State University-Fresno,CA,Fresno,yes,Immediate Access / Follett Access,per-course,,https://kennel.bkstr.com; https://fresnostate.edu,likely,Follett Immediate Access since Fall 2017; significant expansion by Fall 2020; opt-out; Kennel Bookstore,verified_dataset,GOLD,2026-03-10 17:25
110565,California State University-Fullerton,CA,Fullerton,yes,Inclusive Access,per-course,,https://www.fullerton.edu/titan-shops/,verified,Free digital access first 2 weeks then discounted purchase. SmartAccess+ flat-rate coming Spring 2027.,verified_dataset,GOLD,2026-03-10 17:25
110583,California State University-Long Beach,CA,Long Beach,yes,Day 1 Textbook Access (D1TA),flat-rate,"$250/semester full-time, $165/semester part-time",https://www.csulb.edu/student-records/d1ta,HIGH,Flat-rate IA. $250 FT/$165 PT. Digital-first with physical backup.,notion_gemini_codex,GOLD,2026-03-10 17:25
224615,Dallas College,TX,Dallas,yes,IncludED,included-tuition,$20/credit hour premium (tuition $59→$79 for Dallas County residents to include materials),https://blog.dallascollege.edu/2020/04/better-when-bundled-say-hello-to-dcccds-tuition-learning-materials-combo/,HIGH,Dallas College IncludED is a true equitable/inclusive access tuition-bundled model: IA cost embedded directly in per-credit tuition rate. Functionally $20/credit hour though presented as single $79/hr tuition for residents. Students can opt out and immediately see tuition decrease by $20/hr.,notion_perplexity,GOLD,2026-03-10 17:25
482477,DeVry University-Illinois,IL,Lisle,no,None found,unknown,Not listed,https://www.devry.edu/tuition-and-financial-aid/tuition-and-fees.html,MEDIUM,"Given DeVry's largely online focus and reliance on proprietary courseware, some materials charges may be baked into tuition, but nothing in official pages resembles a transparent IA program. Explicitly reflects uncertainty.",notion_perplexity,GOLD,2026-03-10 17:25
104577,Eastern Arizona College,AZ,Thatcher,yes,Equitable Access (Akademos),per-course + $500 charge program,,https://eac.edu; https://bkstr.com,likely,Akademos partnership; $500 charge to student account with fin aid,verified_dataset,GOLD,2026-03-10 17:25
104586,Embry-Riddle Aeronautical University-Prescott,AZ,Prescott,yes,Inclusive Access,via lms; up to 60% savings; opt-out,,https://erau.edu; https://bkstr.com/erau,likely,IA via Follett bookstore. Up to 60% savings. Materials via LMS on first day. Opt-out available.,verified_dataset,GOLD,2026-03-10 17:25
104443,Empire Beauty School-Chandler,AZ,Chandler,yes,Certified Learning in Cosmetology (CLiC),included-tuition,"Cosmetology: $2,750; Esthetics: $1,400; Educator Training: $499 (Books & Supplies fee)",https://www.empire.edu/cosmetology-schools/arizona/chandler,HIGH,"Empire Beauty School-Chandler utilizes the digital CLiC curriculum delivered via a mandatory Career Success Tablet, with textbook and kit costs bundled into the program's 'Books & Supplies' fees for day-one access.",gemini_cli,GOLD,2026-03-10 17:25
103741,Empire Beauty School-Tucson,AZ,Tucson,yes,Inclusive Access / Career Success Tablet Program,included-tuition,"Approximately $2,750",https://www.empire.edu/beauty-schools/arizona/tucson,HIGH,"Empire Beauty School-Tucson utilizes a digital-first 'Inclusive Access' model where textbooks and the CLiC curriculum are delivered via a required Career Success Tablet, with the cost bundled into the total tuition and student kit fees.",gemini_cli,GOLD,2026-03-10 17:25
133951,Florida International University,FL,Miami,yes,Panther Book Pack,per-credit-hour,$20.50/credit hour,https://onestop.fiu.edu/finances/types-of-aid/panther-book-pack/,HIGH,Strong IA program with clear per-credit pricing. Well-documented on FIU OneStop.,notion_codex,GOLD,2026-03-10 17:25
134097,Florida State University,FL,Tallahassee,yes,Follett ACCESS / Inclusive Access,per-course,Not listed (varies by course/publisher),https://www.bkstr.com/floridastatestore/shop/textbooks-and-course-materials,HIGH,Follett ACCESS per-course model. Auto-enrollment with opt-out.,notion_gemini_codex,GOLD,2026-03-10 17:25
134237,Full Sail University,FL,Winter Park,no,None found (books and supplies included in program tuition),included-tuition,Not listed as separate fee; textbooks bundled into total program tuition,https://www.fullsail.edu/admissions/tuition,HIGH,"Full Sail is a ""materials-included"" tuition model — one packaged program cost covers all texts and media. No incremental billing or opt-out typical of IA programs. Record as ""None found"" for IA Program Name with ""included-tuition"" as Cost Model.",notion_perplexity,GOLD,2026-03-10 17:25
232186,George Mason University,VA,Fairfax,yes,First Day™,per-course,Not listed (course-specific charge; no public pricing table),https://studentaccounts.gmu.edu/course-material-information/,HIGH,"GMU uses Barnes & Noble College First Day inclusive access. Digital materials auto-provisioned in Canvas, billed as course materials charge on student account. Opt-out via Course Materials link in LMS. Pricing course-specific and negotiated.",notion_perplexity,GOLD,2026-03-10 17:25
104717,Grand Canyon University,AZ,Phoenix,yes,Canyon Connect eBooks,per-course,,https://www.gcu.edu/,verified,Digital textbooks via BibliU platform accessible through Halo classroom. Not formally named 'Inclusive Access' but functionally similar.,verified_dataset,GOLD,2026-03-10 17:25
107044,Harding University,AR,Searcy,yes,HUDirectAccess,negotiated low price; charged to hu student account; digital via canvas; opt-out,,https://harding.edu,likely,HUDirectAccess: digital via Canvas. Negotiated low price. Charged to HU Student account. Opt-out by deadline.,verified_dataset,GOLD,2026-03-10 17:25
107071,Henderson State University,AR,Arkadelphia,no,N/A,traditional purchase,,https://hsu.edu,likely,No formal IA found. Now part of Arkansas State University system (merged). Textbook rental mentioned at partner institutions.,verified_dataset,GOLD,2026-03-10 17:25
107080,Hendrix College,AR,Conway,yes,Inclusive Access (Akademos),per-course,,https://hendrix.edu; https://bkstr.com,likely,Akademos bookstore; IA/EA/Student Choice,verified_dataset,GOLD,2026-03-10 17:25
225423,Houston Community College,TX,Houston,yes,First Day – Inclusive Access Program,per-course,Varies by course; no official unified dollar amount published,http://www.hccs.edu/resources-for/current-students/hcc-textbook-saving-program/first-day---inclusive-access-program/,HIGH,"HCC runs classic Barnes & Noble First Day IA program, branded as part of ""Textbook Saving Program."" Charges attached to specific First Day sections as dedicated line item. Financial aid applies but students must manage opt-out by deadline.",notion_perplexity,GOLD,2026-03-10 17:25
151351,Indiana University-Bloomington,IN,Bloomington,yes,IU eTexts,per-course,Not listed (publisher-negotiated eText fee per course; no public rate table),https://iu.pressbooks.pub/iuetexts101/chapter/how-the-iu-etext-program-works/,HIGH,"IU eTexts is a mature, institution-run IA program under IU's own branding (not vendor-branded). Charges appear as eText fees on bursar bill per participating course. Materials delivered in Canvas from day one. Students can opt out per federal regulations, default is opt-in billing.",notion_perplexity,GOLD,2026-03-10 17:25
153603,Iowa State University,IA,Ames,yes,Immediate Access ONE,flat-rate,"$259/semester (Fall/Spring), $69/term (Winter/Summer)",https://www.isubookstore.com/immediate-access-one,HIGH,Flat-rate. Opt-out is all-or-nothing. Since 2012 in some form.,notion_gemini_codex,GOLD,2026-03-10 17:25
232557,Liberty University,VA,Lynchburg,yes,Inclusive Access (Liberty University),flat-rate-credit,$38/credit hour (Inclusive Access Fee) for eligible online graduate courses; waived for online undergrads,https://www.liberty.edu/information-services/inclusive-access/,HIGH,"Liberty's implementation is unusual: online undergraduates have IA fees waived (materials effectively tuition-included), while graduate online students pay stated $38/credit Inclusive Access fee. Program uses generic ""Inclusive Access"" label.",notion_perplexity,GOLD,2026-03-10 17:25
159391,Louisiana State University and Agricultural & Mechanical College,LA,Baton Rouge,no,None found,unknown,Not listed,https://www.lsu.edu/learningcenter/oer/,MEDIUM,No IA billing program found. LSU promotes OER/library alternatives instead.,notion_codex,GOLD,2026-03-10 17:25
135717,Miami Dade College,FL,Miami,yes,Inclusive Access / SharkPack,per-course,Not listed (up to 60% savings),https://www.bkstr.com/miamidadestore,HIGH,Follett IA. SharkPack = free dual enrollment. Model varies by campus.,notion_gemini_codex,GOLD,2026-03-10 17:25
242972,NUC University,PR,Bayamon,no,None found,unknown,Not listed,https://online.nuc.edu/wp-content/uploads/2024/03/15-NUC_University-Textbooks.pdf,MEDIUM,"Recorded as ""None found"" with unknown cost model. Lack of evidence is not strong proof of absence — may need to revisit if internal or student-facing bookstore portal for NUC becomes accessible.",notion_perplexity,GOLD,2026-03-10 17:25
105330,Northern Arizona University,AZ,Flagstaff,yes,Follett Access (Course-by-Course Affordable Access),per-course; digital via lms day 1; auto-enrolled; opt-out by course; up to 60% savings; follett,,https://nau.edu,likely,NAU: Follett Access. Per-course. Up to 60% savings. Auto-enrolled opt-out by course.,verified_dataset,GOLD,2026-03-10 17:25
204796,Ohio State University-Main Campus,OH,Columbus,yes,CarmenBooks,per-course,Not listed (up to 80% off retail per course),https://affordablelearning.osu.edu/carmenbooks,HIGH,"CarmenBooks = library-managed IA, unique model.",notion_gemini_codex,GOLD,2026-03-10 17:25
214777,Pennsylvania State University-Main Campus,PA,University Park,yes,Inclusive Access,per-course,Not listed (varies by course),https://www.bkstr.com/pennstatestore/shop/textbooks-and-course-materials,HIGH,Per-course IA model. Managed through campus bookstore.,notion_gemini_codex,GOLD,2026-03-10 17:25
105525,Pima Community College,AZ,Tucson,yes,IncludEd + Inclusive Access,per-course fee,,https://pima.edu; https://bkstr.com/pimaccbookstore,likely,IncludEd (dept heads decide); also OER; opt-out; EBPP for fin aid,verified_dataset,GOLD,2026-03-10 17:25
105543,Pima Medical Institute-Albuquerque,NM,Albuquerque,yes,Day One Access (FlatWorld partnership),included-tuition,"Varies by program (e.g., $714 for Medical Assistant, $2,461 for Dental Hygiene)",https://pmi.edu/,HIGH,"PMI Albuquerque bundles textbook costs into the total program fee through its Day One Access program, providing students with both digital and print materials on the first day of class.",gemini_cli,GOLD,2026-03-10 17:25
105589,Prescott College,AZ,Prescott,no,N/A,traditional,,https://prescott.edu,likely,148K e-books in library; no formal IA,verified_dataset,GOLD,2026-03-10 17:25
243780,Purdue University-Main Campus,IN,West Lafayette,no,None found,unknown,Not listed,https://lib.purdue.edu/help/course-material-affordability/,HIGH,Do NOT confuse with PNW ($304/semester flat-rate) or Fort Wayne. Main Purdue emphasizes OER over IA billing.,notion_perplexity,GOLD,2026-03-10 17:25
186380,Rutgers University-New Brunswick,NJ,New Brunswick,yes,First Day,per-course,Not listed (lowest publisher price per course),https://www.bncollege.com/first-day/,HIGH,BN First Day per-course. Also OAT + TAP programs.,notion_gemini_codex,GOLD,2026-03-10 17:25
122755,San Jose State University,CA,San Jose,yes,First Day / Spartan Bookstore Inclusive Access,per-course,Not listed (varies by course),https://www.bncollege.com/first-day/,HIGH,BN First Day per-course model via Spartan Bookstore.,notion_gemini_codex,GOLD,2026-03-10 17:25
183026,Southern New Hampshire University,NH,Manchester,no,None found (reduced-cost digital model),unknown,60% below national average,https://www.snhu.edu/tuition/undergraduate-online,HIGH,No formal IA. Reduced-cost digital-first via BN bookstore.,notion_gemini_codex,GOLD,2026-03-10 17:25
228547,Tarrant County College District,TX,Fort Worth,yes,TCC Plus (Powered by First Day™),per-course,Varies by course (e.g. FREN-1411 $63.33 vs $135.30 standard); no single standard fee,https://www.tccd.edu/services/campus-resources/bookstores/inclusive-access/tcc-plus-faq/,HIGH,"TCC Plus branded locally but explicitly ""Powered by First Day"" (Barnes & Noble College backend). Charge appears automatically when registering for TCC Plus section, billed with tuition as course materials line item. Prices course-specific with sample table rather than rate card.",notion_perplexity,GOLD,2026-03-10 17:25
228459,Texas State University,TX,San Marcos,yes,BookSmart @ TXST,flat-rate-semester,$249/semester,https://news.txst.edu/inside-txst/2023/txst-to-launch-booksmart-to-reduce-student-expenses.html,HIGH,Clear IA program with published flat-rate pricing. Well-documented.,notion_codex,GOLD,2026-03-10 17:25
229115,Texas Tech University,TX,Lubbock,no,None found (main campus),unknown,Not listed,https://www.depts.ttu.edu/provost/textbook-affordability/,HIGH,No formal IA program. TTU emphasizes OER/low-cost alternatives through provost office.,notion_gemini_codex,GOLD,2026-03-10 17:25
100751,The University of Alabama,AL,Tuscaloosa,yes,Access Granted,per-course; digital via blackboard day 1; auto-charged after drop deadline; opt-out before deadline,,https://ua.edu; https://universitysupplystore.com,likely,UA: Access Granted. Digital via Blackboard day 1. Auto-charged after drop. Opt-out before deadline.,verified_dataset,GOLD,2026-03-10 17:25
100663,University of Alabama at Birmingham,AL,Birmingham,yes,First Day Access,per-course; digital via canvas day 1; reduced cost; billed to account; fin aid applicable; opt-out available,,https://uab.edu; https://bncollege.com,likely,UAB: First Day Access. Digital via Canvas day 1. Reduced cost. Fin aid applicable. Opt-out.,verified_dataset,GOLD,2026-03-10 17:25
102553,University of Alaska Anchorage,AK,Anchorage,yes,Inclusive Access (fka Day-One-Digital),per-course; digital day 1; discounted; auto-enrolled; 14-day opt-out; charged to account,,https://uaa.alaska.edu; https://bibliu.com,likely,Inclusive Access fka Day-One-Digital. Per-course. Digital day 1. Discounted. Auto-enrolled. 14-day opt-out. Also at Kenai Peninsula and Prince William Sound colleges.,verified_dataset,GOLD,2026-03-10 17:25
